Country Name,Country Code,Series Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Georgia,GEO,Forest area (% of land area),40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596,40.61591596
Germany,DEU,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.038064109,0,0,0,0,0
Germany,DEU,Forest area (% of land area),32.73754877,32.74516555,32.71898647,32.72284322,32.73232815,32.68548202,32.68454647,32.68361097,32.68361097,32.68361097
Ghana,GHA,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.313309791,0,0,0,0,0
Ghana,GHA,Forest area (% of land area),34.85291377,34.79798717,34.74306056,34.68813395,34.63320735,34.81691131,35.00061528,35.03234596,35.06407665,35.09585128
Gibraltar,GIB,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Gibraltar,GIB,Forest area (% of land area),0,0,0,0,0,0,0,0,0,0
Greece,GRC,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.793078091,0,0,0,0,0
Greece,GRC,Forest area (% of land area),30.27,30.27,30.27,30.27,30.27,30.26997673,30.26997673,30.26997673,30.26997673,30.26997673
Greenland,GRL,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Greenland,GRL,Forest area (% of land area),0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997
Grenada,GRD,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Grenada,GRD,Forest area (% of land area),52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353
Guam,GUM,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Guam,GUM,Forest area (% of land area),44.81481481,45.18518519,45.55555556,45.92592593,46.2962963,51.85185185,51.85185185,51.85185185,51.85185185,51.85185185
Guatemala,GTM,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.145790236,0,0,0,0,0
Guatemala,GTM,Forest area (% of land area),34.48338932,34.22807018,33.97275103,33.71743188,33.46211273,33.35386338,33.24561404,33.13736469,33.02911534,32.92086599
Guinea,GIN,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.541487597,0,0,0,0,0
Guinea,GIN,Forest area (% of land area),26.58717239,26.44066417,26.29415595,26.14764773,26.00113951,25.8383526,25.67556568,25.51277877,25.34999186,25.18720495
Guinea-Bissau,GNB,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.481290285,0,0,0,0,0
Guinea-Bissau,GNB,Forest area (% of land area),73.11472262,72.81443812,72.51415363,72.21386913,71.91358464,71.61344239,71.31330014,71.01315789,70.71301565,70.4128734
Guyana,GUY,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.038607351,0,0,0,0,0
Guyana,GUY,Forest area (% of land area),94.02143764,93.96205232,93.90266701,93.84328169,93.78389637,93.73716027,93.69037338,93.64363729,93.59685039,93.5501143
Haiti,HTI,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.77456403,0,0,0,0,0
Haiti,HTI,Forest area (% of land area),13.61661829,13.50391872,13.39121916,13.27851959,13.16582003,13.05297533,12.94013062,12.82728592,12.71444122,12.60159652
Honduras,HND,Annual deforestation (% of change) - (for online table only),0,0,0,0,2.180747253,0,0,0,0,0
Honduras,HND,Forest area (% of land area),58.56771829,58.36816516,58.16861203,57.9690589,57.76950576,57.58378765,57.39663956,57.20940209,57.02216463,56.83492716
"Hong Kong SAR, China",HKG,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
"Hong Kong SAR, China",HKG,Forest area (% of land area),0,0,0,0,0,0,0,0,0,0
Hungary,HUN,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.509988937,0,0,0,0,0
Hungary,HUN,Forest area (% of land area),22.63642991,22.66830885,22.70018778,22.55023011,22.58185404,22.55895244,22.5429542,22.5281613,22.51227263,22.49627438
IBRD only,IBD,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.021847844,0,0,0,0,0
IBRD only,IBD,Forest area (% of land area),34.15915171,34.13378215,34.10842334,34.08275162,34.05592647,34.01794344,33.977203,33.96078584,33.94212653,33.9250508
Iceland,ISL,Annual deforestation (% of change) - (for online table only),0,0,0,0,-3.634615633,0,0,0,0,0
Iceland,ISL,Forest area (% of land area),0.452548628,0.459511222,0.466473815,0.473436409,0.480399002,0.485386534,0.492568579,0.496280869,0.502727363,0.509273034
India,IND,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.520158833,0,0,0,0,0
India,IND,Forest area (% of land area),23.46382169,23.55342242,23.64302315,23.73262388,23.82222461,23.91182535,24.00142608,24.09102681,24.18062754,24.27022827
Indonesia,IDN,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.586760214,0,0,0,0,0
