Finland,FIN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.7093,5.84025,6.01678,6.44505,7.14804,7.12404,7.10237,7.03208,6.85153,6.37621,,,
Fragile and conflict affected situations,FCS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
France,FRA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,5.4516,,,
French Polynesia,PYF,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Gabon,GAB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.82709,,,2.98746,3.0134,3.02971,2.66667,,,,,,
"Gambia, The",GMB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.46587,1.1581,1.44292,2.50117,2.63757,1.81839,2.23094,2.16003,2.02443,,2.4203,,
Georgia,GEO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.18105,2.1375,2.23502,2.57614,1.9061,,,,3.59387,3.57443,3.52106,,
Germany,DEU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,4.82487,4.95658,4.96111,4.93962,4.83498,4.84022,4.90512,,,
Ghana,GHA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,5.35444,,8.14097,7.91914,4.6071,4.49182,4.51089,4.48683,3.61798,3.98944,,
Gibraltar,GIB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Global Partnership for Education,FTI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.7893627,,,,,,,,,,,,
Greece,GRC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.23019,3.36458,3.42431,,,,,,,,,,
Greenland,GRL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Grenada,GRD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,3.1738,,,
Guam,GUM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Guatemala,GTM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,2.92014,2.95786,2.88809,2.98562,3.03033,2.94474,2.95182,3.14093,3.2122,
Guinea,GIN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.5934,2.08191,2.59387,2.28742,1.83371,2.63421,2.42281,2.51714,2.54456,2.31765,2.31594,,
Guinea-Bissau,GNB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,1.85786,2.00106,2.13249,,,,,,,
Guyana,GUY,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,8.48415,8.3973,8.36554,3.59204,3.18242,,5.84796,5.21483,6.061,6.23007,5.49358,,
Haiti,HTI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,3.02452,3.15723,2.44959,2.68945,2.78047,,
